name,category,ra_deg,dec_deg,v_kms,v_mean_kms,delta_v_kms,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
M60,major,190.9162,11.5522,1117.0,1454.388888888889,-337.3888888888889,,,,
M49,major,187.4441,8.0035,997.0,1454.388888888889,-457.3888888888889,,,,
199.0,background,184.1407813,7.4620674,2584.0,1454.388888888889,,,,,
200.0,background,184.1404477,13.031597,8.0,1454.388888888889,,,,,
220.0,background,184.2820056,7.6242759,2275.0,1454.388888888889,,,,,
222.0,background,184.2911844,7.1915747,2263.0,1454.388888888889,,,,,
226.0,background,184.2976068,15.3240384,864.0,1454.388888888889,,,,,
230.0,background,184.3318761,11.9434644,1430.0,1454.388888888889,,,,,
308.0,background,184.712027,7.8619797,1530.0,1454.388888888889,,,,,
315.0,background,184.7523115,6.0946187,1589.0,1454.388888888889,,,,,
341.0,background,184.8427241,6.0986724,1776.0,1454.388888888889,,,,,
345.0,background,184.8467458,5.8248971,2177.0,1454.388888888889,,,,,
355.0,background,184.8773845,14.8776534,1359.0,1454.388888888889,,,,,
369.0,background,184.9386693,12.798262,1021.0,1454.388888888889,,,,,
397.0,background,185.0507418,6.6231923,2442.0,1454.388888888889,,,,,
465.0,background,185.3243502,11.5106643,355.0,1454.388888888889,,,,,
483.0,background,185.3865368,14.6061371,1124.0,1454.388888888889,,,,,
490.0,background,185.4115379,15.7451112,1267.0,1454.388888888889,,,,,
491.0,background,185.4180145,11.5031588,237.0,1454.388888888889,,,,,
497.0,background,185.4266475,14.59495,1098.0,1454.388888888889,,,,,
523.0,background,185.5171828,12.7874979,1524.0,1454.388888888889,,,,,
524.0,background,185.5235656,9.0436564,1055.0,1454.388888888889,,,,,
538.0,background,185.5614014,7.1671499,755.0,1454.388888888889,,,,,
543.0,background,185.5813776,14.7607696,977.0,1454.388888888889,,,,,
559.0,background,185.6305649,15.537915,158.0,1454.388888888889,,,,,
570.0,background,185.6606025,11.8008999,1431.0,1454.388888888889,,,,,
571.0,background,185.6712666,7.9503803,1101.0,1454.388888888889,,,,,
575.0,background,185.6803578,8.1982639,1203.0,1454.388888888889,,,,,
596.0,background,185.7287922,15.8222817,1571.0,1454.388888888889,,,,,
613.0,background,185.7757201,5.2503454,1667.0,1454.388888888889,,,,,
648.0,background,185.8956063,6.0817747,1266.0,1454.388888888889,,,,,
654.0,background,185.8970174,16.7223449,933.0,1454.388888888889,,,,,
657.0,background,185.9125041,7.0539981,761.0,1454.388888888889,,,,,
685.0,background,185.9910099,16.6933384,1210.0,1454.388888888889,,,,,
692.0,background,186.0063131,12.2047665,2325.0,1454.388888888889,,,,,
698.0,background,186.0209443,11.2180718,2083.0,1454.388888888889,,,,,
731.0,background,186.11773,7.3177697,1243.0,1454.388888888889,,,,,
750.0,background,186.2065252,6.7595615,1059.0,1454.388888888889,,,,,
759.0,background,186.2309734,11.7041966,933.0,1454.388888888889,,,,,
763.0,background,186.2656026,12.8869755,1017.0,1454.388888888889,,,,,
778.0,background,186.3014104,14.7621692,1338.0,1454.388888888889,,,,,
784.0,background,186.3114423,15.6074215,1074.0,1454.388888888889,,,,,
792.0,background,186.342391,10.0167929,963.0,1454.388888888889,,,,,
801.0,background,186.3560921,16.4699454,1710.0,1454.388888888889,,,,,
828.0,background,186.4236734,12.8105171,538.0,1454.388888888889,,,,,
836.0,background,186.4446712,12.6619044,2524.0,1454.388888888889,,,,,
856.0,background,186.4913357,10.0537778,1001.0,1454.388888888889,,,,,
873.0,background,186.5297661,13.1119969,237.0,1454.388888888889,,,,,
874.0,background,186.5298124,16.1809713,1735.0,1454.388888888889,,,,,
896.0,background,186.5942075,12.7863945,2114.0,1454.388888888889,,,,,
898.0,background,186.5984901,13.3735172,1172.0,1454.388888888889,,,,,
912.0,background,186.634391,12.6107082,69.0,1454.388888888889,,,,,
916.0,background,186.6383646,12.7429799,1298.0,1454.388888888889,,,,,
929.0,background,186.6686939,8.4356972,907.0,1454.388888888889,,,,,
930.0,background,186.6714522,12.845406,1172.0,1454.388888888889,,,,,
938.0,background,186.694772,7.9189879,1399.0,1454.388888888889,,,,,
939.0,background,186.6968095,8.8845903,1272.0,1454.388888888889,,,,,
940.0,background,186.6961004,12.4539694,1392.0,1454.388888888889,,,,,
942.0,background,186.7020527,12.399878,1172.0,1454.388888888889,,,,,
944.0,background,186.7108668,9.5842588,828.0,1454.388888888889,,,,,
